isin,year,total_revenue,cfo,cogs,total_debt,capex
CH0011037469,2013,560267807.009642,410120337.3816562,330008083.25141215,754078273.1460512,131730298.26670668
CH0011037469,2016,2874064165.230931,696028006.4400413,1863150376.3236601,1770735511.8110867,792648378.3894646
CH0011037469,2017,234098913.15361625,126464797.07003886,127961136.41949862,292847036.19532734,134733444.78862813
CH0011037469,2018,8691873.661800897,9892585.534276105,4503428.4033914395,32038837.107144486,6252194.714708392
CH0011037469,2019,1304643057.698743,-90783665.73763448,1007056748.0211407,679850702.451518,81137174.453396
CH0011037469,2021,321484057.1236296,191571286.32057214,171846027.2821359,374671288.17573595,144439290.6618557
CH0011037469,2022,3331759719.335304,298787480.9521315,1371905459.3729684,1019622674.1534636,329673648.80834275
CH0012221716,1997,586640659.3273479,707370528.6823422,284941741.9400051,1772966350.5444677,194950924.96344298
CH0012221716,1998,652945311.8566965,161972112.92095953,421880120.7845493,687816162.2450434,251577278.06685582
CH0012221716,1999,5956760144.752108,414370734.3500496,4056438535.2737894,2021120437.5170393,1242271473.853646
CH0012221716,2003,241360018.10252842,8143150.049339819,178232220.64401132,266953628.69162697,61224641.87396682
CH0012221716,2005,576512921.3812493,-45223482.88475545,437527857.3807872,387187612.357639,197564840.89912674
CH0012221716,2006,736263534.0831662,145682908.64286244,464006594.71584266,331317071.23041797,186337545.38662115
CH0012221716,2007,2858153520.1019998,225754465.15019006,2132746518.7641587,2663514894.992495,1184986243.2476351
CH0012221716,2010,196758737.71008432,-24143042.069158275,109132832.03463349,191967094.88381088,132579447.28460531
CH0012221716,2011,571507760.628144,-49217394.99144122,395275013.84391856,1098348725.3632984,110644314.75302607
CH0012221716,2012,3570052661.893768,192559290.97517064,1766471335.4660237,1108369847.1383035,377661416.6188462
CH0012221716,2015,4410362247.476537,508805773.1069072,2085253104.6094055,3263890399.4584074,852231863.6311885
CH0012221716,2016,1503446710.4139783,140640940.8630378,1123422924.259482,1812467060.339737,589003590.7659639
CH0012221716,2017,4767454903.266482,35166426.85663238,3245087756.2185116,2374302656.6417103,324812471.6856497
CH0012221716,2020,5630923602.640755,-138761774.10268423,3907564256.4315104,3291631652.897242,562401351.5775756
CH0012221716,2022,736647000.7599517,97290908.0940464,508028689.7424345,494286376.5657194,57387579.43987981
CH0037851646,1997,494831153.7972377,37932857.702938356,199857579.53835854,758041396.7600269,383027855.4505597
CH0037851646,1998,920187976.1961292,102185134.94803515,636893495.1225529,249960118.91319022,178682331.83482888
CH0037851646,1999,3255562290.763196,1237807537.6330106,2290274759.2998953,1160525737.1881979,248895987.707883
CH0037851646,2001,4612087860.714764,-98679886.00767194,3543120096.0167875,2650291231.228494,383420140.26473725
CH0037851646,2004,1373827212.7352226,132340215.69502251,776592583.7021259,1162985922.6535661,113646029.41506535
CH0037851646,2005,3589575716.1333604,523305304.48429954,1625200224.6235142,2739981844.828879,630743511.3800547
CH0037851646,2008,1086100689.059904,8704437.977882432,734836673.974688,3347851983.47027,1067759314.7018801
CH0037851646,2009,2491528566.8461466,783372381.4445517,1834174331.5446012,1565430418.0369215,256711076.0254301
CH0037851646,2010,2753307310.4430056,666237883.9823792,1365989138.6014848,502822254.9396722,570509204.9936299
CH0037851646,2011,855696626.4827566,107599818.96769613,527373250.84025913,703175262.5306914,171142429.9274573
CH0037851646,2012,4441138292.422835,-132831773.72621828,2980361548.7139616,2664983378.166246,605279051.5683771
CH0037851646,2013,110000116.14329663,136943938.7022503,44715852.74929863,329937452.0238331,85381587.73734446
CH0037851646,2014,1213524271.9275637,-23106200.257898293,547157250.0898108,1290189835.0777054,59754442.89014067
CH0037851646,2015,3084509297.970565,-312134643.93613267,2383904207.2186713,2348203194.403046,889559515.5991089
CH0037851646,2016,1528646102.7650526,968340224.9066606,1106246359.0843747,3938820714.3223033,1397331858.4194014
CH0037851646,2017,1130657892.6037652,341225010.37022656,694610122.3713113,821581792.7467734,359049007.68453276
CH0037851646,2019,194134148.4889959,112855940.5313105,78682714.89473504,471406039.7799639,98505035.85769114
CH0037851646,2020,516391596.08672476,47302662.88375925,345192967.37451094,524532009.4744202,92066079.12191208
CH0037851646,2021,3785742222.9692564,440122851.6121032,1877262996.5933967,2310560594.6235867,111413198.11464415
CH0037851646,2022,1257532341.418191,17684252.395964365,918098962.6967216,1389933776.7966442,321774434.6503316
CH0136071542,1997,3377786718.4063826,1038701595.3511274,2177704677.996275,2412655928.2314444,427391012.66563475
CH0136071542,1998,1099243903.891364,168364085.38386896,553411408.8378055,820098745.5551217,244966947.88639632
CH0136071542,2002,467932166.2743366,59994694.73666061,345546877.7410561,357778274.4743701,42983405.45308676
CH0136071542,2005,1870384367.390999,382833992.85303956,1474903323.2138388,3220251503.9607325,376315717.51871663
CH0136071542,2006,1493802869.0970242,1044410232.3091153,1112826909.1185603,1015693794.1887999,514294936.5012858
CH0136071542,2007,2344115835.8833594,-164209445.36144698,1325144507.8453703,1948566896.474902,638815018.0046754
CH0136071542,2008,1622992501.6217682,36753520.132750764,1167886407.2222114,3636144246.056418,319505914.1305919
CH0136071542,2012,5232601111.255042,856273486.0378256,2466272663.63793,2632865409.7276793,516245645.11529845
CH0136071542,2013,4151451865.9917965,297016265.7544275,2221857101.9217563,3419156241.358964,866146818.4240602
CH0136071542,2014,7526237362.267381,1819442500.6604795,5820275194.598105,5124386443.14729,1057930353.9140896
CH0136071542,2016,398807151.84986115,253807981.0106294,307334406.21850234,619169398.1392324,36808381.99228134
CH0136071542,2017,1886270157.7377553,255697438.9095813,1314515521.6179528,1560892891.6807115,352746283.2817474
CH0136071542,2020,1000379625.3502417,66513404.445248395,607306038.9414479,255144866.530055,92911959.86765546
CH0136071542,2022,1835660120.8725772,730027707.9790685,1104116227.1384952,4559750083.491179,462823872.2758279
CH0242214887,1997,1472477573.4316292,-96350024.53701298,701265316.8782121,1246687631.0186193,319695347.8898256
CH0242214887,1998,1080164873.6559107,150721306.2759424,573801745.4837995,651281415.1663424,225419106.28651643
CH0242214887,2000,4038799611.374572,646036574.9829376,2296494226.105239,1116137955.9996538,642015176.6732713
CH0242214887,2001,3701961279.3747044,798560672.8632361,2439280847.419841,995021735.7327604,1280411643.65614
CH0242214887,2002,3163032432.3454466,306712335.18078923,1380307241.74295,2936281487.6445513,418748342.5707801
CH0242214887,2003,2554413164.2617326,-56477249.553001575,1231158881.4168575,3855628513.829545,758088564.3707826
CH0242214887,2004,2110492936.1383905,1210317421.157288,1181878649.1430855,1845740728.6419456,956157384.0154014
CH0242214887,2007,1098414263.9590518,1019566783.8207672,656513605.024744,1026685399.8141493,633123507.4966962
CH0242214887,2008,149115791.4670946,4412437.106545614,87272003.3252116,137123303.7219745,25410388.44776284
