isin,year,total_assets,net_income,total_revenue
CA19044R1082,2012,8036740401.783455,989642200.8565999,1853264631.1871114
CA19044R1082,2013,5393468484.932316,668913197.9466165,3587778969.735593
CA19044R1082,2014,3180102949.3711414,-136795974.27085933,562993809.7792188
CA19044R1082,2015,4271135175.4837003,491960650.14182246,2872809666.106008
CA19044R1082,2016,69620610.09885392,303041.1654127646,31853038.178141244
CA19044R1082,2017,2221155893.926255,-34641607.432102755,408483356.3842172
CA19044R1082,2018,9429102748.1548,280022244.4838476,3076169832.985495
CA19044R1082,2019,7030219287.055889,1004938356.4844708,2492499019.4995522
CA19044R1082,2020,9624476704.691618,233991494.88183227,2658738659.0466557
CA19044R1082,2021,3008853010.3367147,-273138450.386217,900815526.3150806
CA19044R1082,2022,6095682383.36557,-531118709.05850244,2754488404.805065
CA19044R2072,1999,6958158486.6281395,-128797418.03218609,4876633470.263414
CA19044R2072,2001,2202488451.5507264,225480331.25516608,1316657887.919376
CA19044R2072,2003,3486725006.3185644,471163995.6982114,583411330.6302087
CA19044R2072,2004,3975780453.6731143,435059820.86038584,1838504034.8703203
CA19044R2072,2005,6756933601.3811035,-322522595.3236444,4153157910.400603
CA19044R2072,2006,5414525593.478275,-232080073.7449534,3178592265.8056273
CA19044R2072,2009,1749631775.4666522,51017465.38191002,1377866237.1892998
CA19044R2072,2010,2608365665.386607,368705105.6117145,2079852327.662724
CA19044R2072,2012,5582978706.7256155,-294910928.7531404,4007715807.5383344
CA19044R2072,2014,2788785638.7865596,311410544.71954703,1646082064.6465046
CA19044R2072,2018,8563257286.351737,1044225213.0698239,3281060745.5124865
CA19044R2072,2019,8509299394.830251,819744742.3318436,6424048742.557445
CA19044R2072,2020,6689915648.316814,-46356488.42666129,3388312725.692854
CA19044R2072,2021,9401340411.233538,-272824607.77431566,7347755663.934476
CA29786T1057,1997,2504693139.873981,362487242.71086395,1284681139.6949797
CA29786T1057,1999,4867472855.379255,41853410.12500095,3574035162.996404
CA29786T1057,2000,3500849069.1059875,235365635.98294133,1930971560.019891
CA29786T1057,2001,8641689233.962524,214299590.7576047,2256601611.4621296
CA29786T1057,2002,5720084791.67191,-509654161.24917364,3649344369.3355308
CA29786T1057,2003,9945505652.92233,-299458325.37409276,4266235639.611966
CA29786T1057,2004,8834951873.260363,1221590787.727961,5507736754.807866
CA29786T1057,2005,3307569971.6746697,142467349.34378713,1610573161.1566348
CA29786T1057,2006,9803317804.002085,-231120522.4481089,1497382085.4790516
CA29786T1057,2007,1909191220.400345,40703896.811296776,549718009.8110831
CA29786T1057,2008,3726931402.2537837,413887975.8666672,1402384755.5230587
CA29786T1057,2009,9300175346.424837,-444272357.8992175,1388435189.5247715
CA29786T1057,2010,6711468053.8888235,-244694002.591042,2356079296.098362
CA29786T1057,2011,2952976355.1305456,331227823.9184586,962036981.6011668
CA29786T1057,2012,1366299652.287144,52199470.32795092,814639359.2352937
CA29786T1057,2013,2965171785.46362,-106592778.44982298,1167822824.6749394
CA29786T1057,2015,6115175957.285719,-603591008.6842445,960791534.8951604
CA29786T1057,2016,6278981360.044866,-516538962.1277277,1481787908.9955218
CA29786T1057,2017,3967898593.7561626,482711875.2547391,537800927.4184188
CA29786T1057,2019,276264957.0598597,2657262.9858768876,139570555.5565851
CA29786T1057,2020,6720294150.338465,-411548097.5452271,2215727131.1877294
CA29786T1057,2021,9818410699.01648,1130110407.5769877,6747736640.63849
CA29786T1057,2022,2502588580.0225887,-60521654.568288825,318290012.0261581
CA46016U1084,1998,4389770309.91429,-411156045.79657143,680060876.3991439
CA46016U1084,1999,9626487881.937782,712298027.0817847,6595935537.9499235
CA46016U1084,2000,4089588548.8482575,-249018070.30398583,905050581.7443488
CA46016U1084,2002,2502503957.356137,196819385.38125283,1212359727.0744188
CA46016U1084,2003,6602007747.439641,915806220.4309195,1953888804.2296236
CA46016U1084,2005,7378995377.266016,390571601.93364906,3601302731.321817
CA46016U1084,2006,4196058664.2716565,-46185305.802511595,1147251501.8606114
CA46016U1084,2007,7578485320.032644,-537934831.4684917,834205121.6025276
CA46016U1084,2009,460121819.95332533,52391838.208037265,59130329.44859917
CA46016U1084,2010,7036608228.014298,-531555657.84700245,3039263649.886873
CA46016U1084,2011,4916209589.5808115,-278746785.511845,2121001480.893139
CA46016U1084,2012,4338573107.214807,234120357.64975634,1644116657.3494375
CA46016U1084,2013,6350972999.311351,-40308649.75759833,836504479.9070898
CA46016U1084,2014,6258636571.150792,714251003.6050127,2830126548.8700023
CA46016U1084,2015,6586970446.826288,-542488481.2835836,1409968023.851794
CA46016U1084,2016,6424228540.135336,298366197.81930363,761643156.486048
CA46016U1084,2019,9402308391.225433,-27807500.524308838,4727780823.2256975
CA46016U1084,2020,6432917855.601687,234185211.01646668,2706824026.6969423
CA46016U1084,2021,9414653941.284374,1320853738.3791034,3485981298.6263847
CA46016U1084,2022,9053515884.49644,-748360678.6389823,2146170292.6505797
CA48086P1009,1997,7506172454.933419,1108108357.8455002,4989985732.39327
CA48086P1009,1999,4126235507.346574,388292131.0097698,1487147515.2159574
CA48086P1009,2000,3408101322.176153,390579276.4146443,2561290822.6278696
CA48086P1009,2001,4289997374.347446,380246999.7292211,2683864173.9440355
CA48086P1009,2002,1031328375.9724425,27137439.585973784,754712734.0297757
CA48086P1009,2003,8264592015.330806,1023824329.4101602,2678014765.5642633
CA48086P1009,2004,3892077867.1737576,491746501.22248644,418734475.1384043
CA48086P1009,2005,912957639.1936569,125545818.71223049,295359641.2351846
CA48086P1009,2006,9506076408.660868,550965563.3142582,4766408706.950843
CA48086P1009,2007,4484510375.231,-79976146.60260805,1368885760.989721
CA48086P1009,2008,6725217308.924776,658363540.669322,4214439276.6103716
CA48086P1009,2009,7896202466.13126,186390460.71134716,1293747545.6866295
CA48086P1009,2011,575681844.2904412,5977088.906233092,279015844.7559391
CA48086P1009,2012,8877053057.164722,-627902776.6985145,3068269135.2027717
CA48086P1009,2013,1430002521.3601532,78013095.18714571,905273738.5149992
CA48086P1009,2014,1011316648.9602902,76093773.36693156,160672694.21650946
CA48086P1009,2015,727722787.3412988,55714861.78698315,491432683.94001406
CA48086P1009,2016,813579671.5409335,119319508.8974745,129673534.8458932
CA48086P1009,2017,3742770530.4816275,386253513.8317373,1345337006.8256404
CA48086P1009,2018,9472491048.980848,836842924.192605,7485169480.841502
CA48086P1009,2019,3762658229.3506045,354768736.72214264,596195084.1251042
CA48086P1009,2020,5584086656.933077,706881691.3717669,2216633388.6826744
CA48086P1009,2021,1112063703.3132827,-108049876.2697884,494687718.80727786
CA48086P1009,2022,4686659553.877064,-329451174.77532536,653377954.8099065
CA54928Q1081,1998,2168169384.9542537,322965836.4834695,663775870.2095436
CA54928Q1081,2000,6969280866.132562,587337374.7978837,2571255417.1282563
CA54928Q1081,2001,9152551891.256897,-782854607.4112396,7057456661.576945
CA54928Q1081,2002,3945278533.9014378,-63459741.307287656,689355544.1005716
CA54928Q1081,2004,1696882070.9652658,-4976792.217758751,938025978.3807659
CA54928Q1081,2006,2294024517.5749264,-22742330.960303545,656450135.7721684
CA54928Q1081,2007,2599572633.5563416,-238955347.82263616,1084720014.633926
CA54928Q1081,2008,2797707095.3387403,141831077.5356814,1085075881.9784389
CA54928Q1081,2009,2709649329.3870473,-219345856.06872702,523584422.611509
CA54928Q1081,2010,9405324218.17112,425973297.10484636,3683570215.805712
CA54928Q1081,2011,9191773600.700413,1095341115.7008333,1451600680.0161786
CA54928Q1081,2012,5515923566.653446,15520590.704667289,1188041586.583589
CA54928Q1081,2013,7776045077.123882,1137802678.2466936,3392370094.9185133
CA54928Q1081,2014,3767452025.482414,-6602978.661086271,2353545401.7000036
CA54928Q1081,2015,8291659290.643073,-697511316.0928888,4132206684.722994
CA54928Q1081,2016,368314994.1731502,-35572602.005917266,71341319.06659834
CA54928Q1081,2017,753683067.6185879,25313628.17183405,440301706.9038043
CA54928Q1081,2018,7499132503.624771,347115218.97321796,5543478932.129056
CA54928Q1081,2019,7261235828.634073,-40208096.29580616,4574265187.482631
CA54928Q1081,2020,2410924214.8130856,-89540254.9686412,587136544.8227879
CA54928Q1081,2021,2747390497.0793853,328464729.3348233,673273741.2397243
CA54928Q1081,2022,7570015621.80907,-248537840.6604587,1005506457.8319476
CA5503711080,2000,145545202.2122525,6910402.034235205,50272956.218949534
CA5503711080,2002,3922501226.592813,494390774.3872898,1593447265.4284523
CA5503711080,2003,3482619844.686301,334029398.9114978,1601282980.9043224
CA5503711080,2004,3965488168.9344697,458374454.1949702,2123363031.7570286
CA5503711080,2005,9495211284.514055,1250015190.1797197,1927066771.4905202
CA5503711080,2006,4921213719.166074,72754923.72324803,1381734450.5327466
CA5503711080,2007,9800327749.597242,-174564392.70336303,4359505918.518141
CA5503711080,2009,6334045203.081826,-513274082.93405634,1698169763.5723743
CA5503711080,2010,1288884331.1343012,-79942182.73215707,244413825.96316344
CA5503711080,2011,1388357843.7768364,-75707123.92709722,761670219.5558985
CA5503711080,2012,3456738266.5102997,63916508.037634924,2515647796.0905547
CA5503711080,2013,6675610629.4364195,-346649408.4728764,1472799317.6433423
CA5503711080,2015,408782075.803162,-12407523.308268525,89218545.61132047
CA5503711080,2017,1770187141.7190404,-123631697.20881426,286932773.45815134
CA5503711080,2019,4607841602.450455,-41159705.18100337,1126311324.406001
CA5503711080,2021,5034222366.821484,-453945723.26322985,2936342998.4388337
CA5503721063,1997,1331255974.1819239,147916075.15323773,773480826.4421403
CA5503721063,1998,7496187358.462673,875582758.7041794,909516212.120966
CA5503721063,1999,3541531293.2641754,-261303770.58308923,1338750828.2825754
CA5503721063,2001,7374078320.417582,302272857.5903438,1678330749.543595
CA5503721063,2002,8407115787.780724,284445439.22077906,1365677362.9555287
CA5503721063,2003,2332240793.8568573,43128928.73088637,793075694.9111065
CA5503721063,2004,3551107522.3627195,70651150.0462383,1967938520.4243848
CA5503721063,2005,5842036427.193221,230384015.94761404,3597384261.8615556
CA5503721063,2006,5865395693.064125,-31126737.08009218,2904080462.2643
CA5503721063,2008,3374534594.035794,175100569.45061266,2462577344.273651
CA5503721063,2009,2443607119.330999,-42550236.75354374,1096625847.0908654
CA5503721063,2010,9336924868.41637,-407713636.18365204,982935934.6015925
CA5503721063,2014,3653631661.058609,411780289.13149947,1612957299.07251
CA5503721063,2015,878967456.6389847,-75667344.16560212,583727052.5893669
CA5503721063,2016,8423156121.578286,-803900794.8788093,1146769196.2423549
CA5503721063,2017,6969644927.517979,865299300.0725633,5562326378.288237
CA5503721063,2019,5760026578.214819,-568370613.392753,4274958837.698721
CA5503721063,2020,9750674122.73513,787113653.4155326,4324659408.151253
CA65339B1004,1997,5061088953.197834,-100409231.1528697,3808014139.592744
CA65339B1004,1999,5938871587.269233,80572629.5776817,2128855849.7819252
CA65339B1004,2000,5486076319.069738,-271930453.8507497,2656607144.3270297
CA65339B1004,2001,6845747021.643545,-446984882.33409184,1105640704.7501578
CA65339B1004,2002,27208723.053355273,497689.7253217615,4943477.928788841
CA65339B1004,2003,6061058200.37028,-444428228.8186778,3976070028.9678073
CA65339B1004,2004,8507289527.418546,18116896.07130227,5293083840.986995
CA65339B1004,2005,9329387377.192837,-454803412.9661949,7404274202.264205
CA65339B1004,2006,3792347926.7795076,304901503.12526166,2838627778.2495084
CA65339B1004,2007,481041630.1764805,51464345.4967575,311262863.2334076
CA65339B1004,2008,7505044197.460659,797659882.091049,4950897473.289364
CA65339B1004,2009,1864131227.3827622,108939159.5747314,493965363.45157033
CA65339B1004,2010,9078670518.012114,427393566.4713616,2917318264.5151753
CA65339B1004,2012,6829852335.964982,535771958.06961864,2843704780.8193436
CA65339B1004,2013,8996684486.177202,314391527.79718846,4830059724.855703
CA65339B1004,2014,4387502879.415852,-48961842.794213004,2212356161.43821
CA65339B1004,2015,3914881953.803999,-326286705.16108745,1848999669.8392367
CA65339B1004,2016,2290331006.708871,18052470.95233748,1099346326.318785
CA65339B1004,2017,3328224577.546252,244389539.95446795,2034824572.3183665
CA65339B1004,2018,1667390926.8578322,39777122.21846094,1192251843.2185395
CA65339B1004,2019,7414634965.29934,1107918142.1325393,3716256525.636326
CA65339B1004,2020,7524055960.076223,712099113.583104,4475957983.161023
CA65339B1004,2022,1431365542.6861413,112385126.37255709,348081212.0924815
CA8169221089,1998,1816059008.2425766,83262580.23069671,1336465778.6413305
CA8169221089,1999,4008574082.4947224,548456452.73727,1697246551.5644836
CA8169221089,2003,1533598696.0204904,40597684.965137355,782688783.7665391
CA8169221089,2005,6114581208.922935,721709995.4782878,688973453.6690296
CA8169221089,2007,9321189613.007875,691284644.5528791,4619518453.887253
CA8169221089,2008,9225001561.834839,-570706928.9022708,5489494410.475212
CA8169221089,2010,5762925972.832115,34765818.09759871,3023810326.518673
CA8169221089,2012,7364468711.823666,967633217.3054116,5553228523.120911
CA8169221089,2013,4508448630.10418,659181625.5725559,808214401.8629173
CA8169221089,2014,8388996974.650697,1092335244.3871274,1570956096.2913046
CA8169221089,2016,8698976630.985077,415975136.40665674,4029249757.042289
CA8169221089,2019,3990087138.4309154,-64642163.16088434,551961311.363322
CA8169221089,2021,8028554200.635255,-133476376.11619711,828887333.4892559
CA8169221089,2022,3981747119.040074,517483400.74207765,1896016087.552022
CH0003846620,1999,853588145.8196307,21808112.345165838,681002845.5559227
CH0003846620,2000,5953890634.698706,520906591.80610454,874945270.8419471
CH0003846620,2001,2099134940.396548,-102259547.29061297,1529509490.1762526
CH0003846620,2004,1906958137.8645992,34357161.8621386,239484894.36388078
CH0003846620,2005,5648454848.512838,530287696.81785077,824652082.929065
CH0003846620,2010,4532943018.596802,46193802.288117334,2117216149.1176655
CH0003846620,2011,4007690532.447172,-245230337.27689546,1970774733.3963978
CH0003846620,2012,1819363112.1396618,248395581.6937589,1279466989.825021
CH0003846620,2016,3733155831.8659015,227722079.45383695,1080828022.0313296
CH0003846620,2017,4087400837.563854,-249175519.440801,481375031.72853667
CH0003846620,2020,7159750691.251091,-667474931.3608716,4018386873.1262794
CH0011037469,1998,7359072541.498704,-510026244.7880069,5104912579.466624
CH0011037469,2000,8764453114.34535,665980412.6769854,4820868982.252362
CH0011037469,2002,9106248973.002686,-146005368.1159305,4893087075.26689
CH0011037469,2003,8251090803.493456,-754504267.74629,2922053249.155889
CH0011037469,2005,8306562000.201841,776319911.1969566,2837808167.427465
CH0011037469,2006,3627642670.869988,-163687830.2148082,2549317231.3342805
CH0011037469,2007,9745475197.262178,-696221801.3152425,6293931379.407227
CH0011037469,2008,5657809622.003608,100518700.51077628,4468295424.486745
CH0011037469,2009,1821153177.5019503,51200654.33594559,800114282.3542372
CH0011037469,2010,7416895273.592233,4728351.575474743,4369976081.054274
CH0011037469,2012,2180309272.6301155,11830322.439769363,1202523235.5983315
CH0011037469,2013,1322848883.6321914,96310627.30705607,966209632.6876577
CH0011037469,2014,6831870246.06917,221457941.11475754,4617037439.322971
CH0011037469,2015,8150562778.581731,-678176949.3108408,3656860247.0039454
CH0011037469,2016,4052540355.468085,324408470.9974856,1816451626.3443196
CH0011037469,2021,1065876643.4137307,-36324062.722684674,211057407.34353963
CH0012221716,1997,2887008498.3333216,230272059.90634096,1007481958.3750564
CH0012221716,1998,2971287444.060188,56491901.29247802,1475194441.5861373
CH0012221716,1999,6636745286.509945,551799074.6462139,5015924778.359144
CH0012221716,2000,2149482291.8697085,-74015249.43281917,261867546.82041988
CH0012221716,2001,5950819799.209478,143364542.95515803,809300004.2717193
CH0012221716,2003,5968468804.884001,553444479.3519292,1993293845.3832595
CH0012221716,2005,1066071871.5124047,87468200.38382593,162678780.06870946
CH0012221716,2006,4954963612.930364,43142048.87919185,2883202539.0404835
CH0012221716,2007,2464095692.187744,246049736.68971077,1659252113.9281693
CH0012221716,2008,6946995238.897182,330382884.25794595,2018113204.7276182
CH0012221716,2009,3609802872.010574,466850007.60841566,592395549.1244743
CH0012221716,2010,1368272627.326522,15737109.959342383,1046955895.2199862
CH0012221716,2011,1851410775.0933125,218904254.1442739,887437954.6160278
CH0012221716,2012,7322275641.606971,473720785.62973243,4866331696.677414
CH0012221716,2013,6922796417.522073,-260179442.4271469,4807445671.854408
CH0012221716,2014,4894300693.93504,719055984.835353,1247295936.6153677
CH0012221716,2015,9440598990.932163,721203166.3263825,1204608800.028049
CH0012221716,2016,9252490649.324917,388477918.8217303,2094789249.534983
CH0012221716,2017,9154891427.05066,680712563.7123027,1133029366.5416486
CH0012221716,2018,2973560338.8247705,424519037.24565244,2221479538.6349926
CH0012221716,2019,9442670464.485428,1090729123.4573345,4078761050.6779118
CH0012221716,2020,8445509530.410851,905602431.1700585,2731027214.595255
CH0012221716,2021,370172646.39145464,-15731519.641092833,191523223.85599434
CH0012221716,2022,1205756801.0842104,89313051.64999558,185526472.4691575
CH0037851646,1997,9979341311.922321,916074315.246116,3447845167.153802
CH0037851646,1998,4019368943.0010605,228607098.30574667,1752094909.6271365
CH0037851646,1999,8736783774.151968,804381296.6757687,6892085517.693302
CH0037851646,2001,4177726044.995121,352581593.41932744,1649992490.3573015
CH0037851646,2002,2387847579.9684467,-27088842.765415367,423441498.57981753
CH0037851646,2004,2872461192.641652,-119488819.4663756,883039623.216259
CH0037851646,2005,421027687.0446552,61861849.59372969,47370563.68390296
CH0037851646,2006,4277788560.04525,299067986.6880385,1578626550.1826887
CH0037851646,2007,2182617053.261855,210810804.22652027,1669642741.3447945
CH0037851646,2010,894201082.0223639,107107027.25970285,350800935.2792712
CH0037851646,2012,9447325749.711874,504041728.1430254,4035718607.8507853
CH0037851646,2014,1670422757.526143,-70294855.18618815,1326011716.5042033
CH0037851646,2015,9427323468.173843,489600490.39117104,5229832716.86376
CH0037851646,2016,5126933841.313984,-286431498.8239988,1340533588.8371098
CH0037851646,2017,2204940042.0808463,209240251.27987823,508253636.9125673
CH0037851646,2018,3501317579.141384,498152260.81190497,491899664.1073448
CH0037851646,2020,8837870471.045761,1314429569.6902647,6623335202.771956
CH0136071542,1997,8521950114.116743,-151155181.24566376,1063502371.0223682
CH0136071542,1998,9315901724.241068,-276237538.7165988,5726008357.595326
CH0136071542,2000,2526565674.699455,186785395.45805028,261644819.4827189
CH0136071542,2001,487930938.3735636,68569175.39180936,230704366.78729296
CH0136071542,2002,1094777653.6585333,161883494.9017476,794957413.4147607
CH0136071542,2003,615264110.6897266,17854813.820744094,441780789.42124385
CH0136071542,2004,9065146543.073856,594020945.578916,4531877606.241775
CH0136071542,2005,5437834702.083193,453936736.16405636,3834462039.175726
CH0136071542,2007,5212650995.772931,-201618131.08742738,3689058595.3885202
CH0136071542,2008,1573490862.9592896,-25959106.582701698,334020756.40413225
CH0136071542,2009,2386976444.0070453,-175541772.1652892,1792770274.6262064
CH0136071542,2010,6989937481.322073,841653361.6869916,1624846461.3838894
CH0136071542,2011,9613156750.320255,1151347308.510245,4093560984.847183
CH0136071542,2012,51551193.030072205,-2208644.3446815284,34743588.57260957
CH0136071542,2013,9087022222.562752,354806724.2661698,915827156.794327
CH0136071542,2015,7566382374.268969,-391308961.80055445,2126772615.5020962
CH0136071542,2016,841073834.8573997,33610217.18343276,276295701.4968287
CH0136071542,2017,1158526983.4168985,-113225041.94302513,421340917.31448174
CH0136071542,2018,8186812337.056368,-238762347.58598992,1554791118.680727
CH0136071542,2019,184375344.61030087,20286888.43457892,74223714.90039608
CH0136071542,2021,3921572899.3308215,346763940.53435636,884895577.2620094
CH0136071542,2022,7888090938.009255,731332733.2264205,1748217343.6157885
CH0242214887,1998,1589466938.9392376,216288158.1274805,680256232.6744001
CH0242214887,1999,1022025977.5752205,32455481.526634295,713319803.6163955
CH0242214887,2001,8259225065.922386,908405662.5360909,2550961612.2162523
CH0242214887,2002,7728250517.890043,-519077362.1163968,2017363798.3101385
CH0242214887,2003,8680556419.890675,-800125266.8494589,6721056723.11469
CH0242214887,2004,7312727542.730159,836137435.5976042,5387046213.670419
CH0242214887,2005,9645208270.654858,101995093.188705,6096406811.344327
CH0242214887,2007,3119588709.752255,253016326.66866282,1012368673.2392719
CH0242214887,2012,7458395536.60844,872861275.6805904,1791889973.03453
CH0242214887,2015,7149268909.618456,127851198.25985414,3531204079.185386
CH0242214887,2017,5432373734.619002,-266592044.39252275,1148795029.646702
CH0242214887,2019,911735787.6128762,12238602.059161339,189240451.47339764
CH0242214887,2020,5303590901.843188,526113337.43269897,596671609.49072
CH0256424794,1997,6804598217.930616,977650396.9710714,2564527582.809657
CH0256424794,1998,7218904090.506557,644394151.8779839,4041782828.7890234
CH0256424794,2000,9526491115.523367,772325276.690255,7006477544.067533
CH0256424794,2001,7491641474.848921,-556643187.2857169,1514401250.8412616
CH0256424794,2002,5709087927.991459,117544955.92731242,644312510.8252227
CH0256424794,2003,2103574764.230694,197633339.62311143,719867680.2154547
CH0256424794,2004,9412380918.573442,315884694.49997437,1418364768.558457
CH0256424794,2005,8825346604.847418,936620900.6227524,1392251150.4910376
CH0256424794,2006,3578077729.1476207,516554904.05107284,1164543689.3959692
CH0256424794,2007,2008670812.7139554,211633922.41058487,1175545986.8078744
CH0256424794,2008,411930834.44318885,56800110.29332731,234499792.32527778
CH0256424794,2009,1242287245.2839208,60492133.07316477,903583729.8225464
CH0256424794,2011,6166084158.1665535,-155946609.65761247,3262234172.3521533
CH0256424794,2012,9352024632.813066,526763683.0521045,7136953866.983937
CH0256424794,2013,7834248917.143553,165299611.62888107,4141031915.745724
CH0256424794,2014,6608235100.980677,326241731.76018965,3218878037.0361047
CH0256424794,2015,7838347150.933277,-703973507.2486361,3422478539.0710607
CH0256424794,2018,1640078409.9468734,133185256.9566896,667552999.3426577
CH0256424794,2019,5932827155.236957,117587045.07387206,3293940818.913611
CH0256424794,2021,6157458645.220234,108036603.03601266,2033883751.3520956
CH0256424794,2022,7442816228.042996,62622616.43270439,5286505431.640978
DE0007011900,1997,7353529451.62766,192744981.71318242,4687189100.294782
DE0007011900,1998,5433050903.580547,255432685.25204924,2498101090.1824574
DE0007011900,1999,294041518.1204973,15157010.58870981,110812668.49951327
DE0007011900,2000,5977275880.202118,381065292.5568629,3915529724.862069
DE0007011900,2001,9921333950.07509,-101319069.04950704,2963484295.104767
DE0007011900,2002,3838533133.962776,418398253.54194707,1635479839.1762805
DE0007011900,2003,2357997360.382703,3130349.424832942,1516664243.9304519
DE0007011900,2004,6018593651.081719,-40853254.95822387,3266762471.237556
DE0007011900,2005,5126200790.537531,-424022943.25327545,1994716592.850722
DE0007011900,2006,4371710171.629384,5487369.602287231,735213996.5760387
DE0007011900,2007,5929224706.477836,389285143.9857355,2997759266.1899805
DE0007011900,2008,952705553.3954674,-20924258.56546966,530167561.6001337
DE0007011900,2009,3990519556.7764974,-390042954.6065084,2795719603.684424
DE0007011900,2010,5884167492.14272,-4913608.863924711,3054470086.371778
DE0007011900,2011,2370354868.297651,286640892.5807533,626418011.1692009
DE0007011900,2012,4420299535.391197,53902871.73611515,1465871021.7799678
DE0007011900,2013,6693937075.553468,82726745.5810098,1352373414.8806348
DE0007011900,2014,5878884922.666759,-216743049.61726108,4491517160.176798
DE0007011900,2016,3592571554.087664,184602634.608648,1313268170.6766415
DE0007011900,2017,3567384857.1947126,340498260.3281331,1689008140.132323
DE0007011900,2018,7053885402.562625,818631929.8323095,2909431836.1139975
DE0007011900,2019,5581446681.91367,-510440370.0005781,2667563627.6961737
DE0007011900,2020,9866931134.27358,-416554914.4460064,1836034262.9287965
DE0007011900,2021,517063202.73154545,-22660142.71739412,283351708.92642456
DE0007011900,2022,1800186373.6834877,-133524793.14482261,291610226.5909305
DE000TRAT0N7,1997,7329015893.521584,-387798232.24007815,1565971230.1123667
DE000TRAT0N7,1999,7308321665.761276,-302269821.0691491,1529739093.7883859
DE000TRAT0N7,2000,9633471993.520708,630106979.9748598,2684988978.366186
DE000TRAT0N7,2001,9786315010.876564,-935777250.0117123,3542721750.635563
DE000TRAT0N7,2002,2441548489.4947004,283591250.4079777,1664193714.982628
DE000TRAT0N7,2005,7685216793.301459,759895737.6215249,1377013116.068344
DE000TRAT0N7,2009,9186786102.155344,1242226551.6512134,4781048589.015484
DE000TRAT0N7,2012,8268406153.230403,366259875.3722509,4687194591.904964
DE000TRAT0N7,2013,3485801815.0529804,178607188.92922884,737251307.5250638
DE000TRAT0N7,2020,3181183725.025833,471878452.1454853,2247528784.012994
DE000TRAT0N7,2021,7524302383.379464,-209390809.7133214,1228998383.1883457
DE000TRAT0N7,2022,1091185406.6943207,99622735.51533861,605998712.5379294
DK0010212570,1999,5964895101.306717,66239344.02959178,2874965043.75444
DK0010212570,2000,146769103.75693348,-8496302.515622178,74990674.85821229
DK0010212570,2001,6425795431.875001,161360252.14139768,4058153462.698362
DK0010212570,2003,5423682413.430885,606323438.434181,4154730512.9149785
DK0010212570,2006,9142373735.863104,-665294326.6229813,6122066252.610963
DK0010212570,2008,1490003660.51635,-57339192.96387835,698270336.003674
DK0010212570,2011,4767007080.864087,178064683.1449715,1792660311.8489425
DK0010212570,2012,7468782473.786613,226367840.98279732,4487570410.346384
DK0010212570,2013,8223951948.828699,1021238612.9854343,3302767591.0493035
DK0010212570,2016,712895572.5246335,45392392.526266016,547690593.3263484
DK0010212570,2018,3800807081.9211593,75240044.80965564,904622068.547837
DK0010212570,2019,1945663776.0206912,105723360.26321515,421104146.3972492
DK0010212570,2020,5230894937.345388,692578175.7487614,2976730862.2216554
DK0010221803,1997,8157504860.178458,257979447.77953166,2948585424.3143997
DK0010221803,1998,1123132213.6777506,66822212.75129535,114344754.58688992
DK0010221803,2001,5151800185.820283,507122410.3889844,2655634496.0721226
DK0010221803,2002,6466094473.637259,-63412149.34841546,1437680562.3269885
DK0010221803,2003,9058920458.767124,354740662.18600476,5788299503.937192
DK0010221803,2005,2556524413.592942,212164726.01795265,796209974.4852469
