isin,stock_name,lseg_name,orgnr
SE0000147480,Alcatel Alsthom Comp. Gen,Alcatel Lucent SA,542 019 096
SE0000147555,"Saint-Gobain, Compagnie de SDB",Compagnie de Saint Gobain SA,542 039 532
SE0000148884,SEB ser. A,Skandinaviska Enskilda Banken AB,5020329081
SE0000162786,Nefab AB ser. B,Nefab AB,5562268143
SE0000163594,Securitas AB ser. B,Securitas AB,5563027241
SE0000163628,Elekta AB ser. B,Elekta AB (publ),5561704015
SE0000164485,Incentive AB ser. B,Gambro AB,5560418005
SE0000166506,SinterCast AB ser. A,SinterCast AB,5562336494
SE0000166514,SinterCast AB ser. B,SinterCast AB,5562336494
SE0000168304,Luxonen S.A. SDB,Luxonen SA,B30541
SE0000169070,Bayer AG,Bayer AG,HRB 48248
SE0000169567,"Kanthal AB ser B,fria",Kanthal AB,5564425576
SE0000169658,Internat. Petroleum Corp. IPC,International Petroleum Corp,1103721
SE0000170375,Hufvudstaden AB ser. A,Hufvudstaden AB,5560128240
SE0000170383,Hufvudstaden AB ser. C,Hufvudstaden AB,5560128240
SE0000171100,SSAB AB ser. A,SSAB AB,5560163429
SE0000171886,SCA ser. A,Svenska Cellulosa Aktiebolaget SCA,5560126293
SE0000188500,Scribona AB ser. A,Catella AB,5560791419
SE0000188518,Scribona AB ser. B,Catella AB,5560791419
SE0000188930,Ortivus AB ser. A,Ortivus AB,5562591205
SE0000189128,Närkes Elektriska AB ser. B,Narkes Elektriska AB,5560299835
SE0000189417,"Sv. Handelsbanken, index fr",Svenska Handelsbanken AB,5020077862
SE0000189433,"Sv. Handelsbanken, pref, ser B63",Svenska Handelsbanken AB,5020077862
SE0000189946,Industrial and Financial Syst. A,Industrial and Financial Systems IFS AB,5561220996
SE0000189953,Industrial and Financial Syst. A,Industrial and Financial Systems IFS AB,5561220996
SE0000190126,"Industrivärden, AB ser. A",Industrivarden AB,5560434200
SE0000191090,Ratos AB ser. A,Ratos AB,5560083585
SE0000191561,"Enea Data AB ser. A,fr",Enea AB,5562097146
SE0000192874,"JP Bank, ser. A, fria",Meroc Asset Management AB,5932001745
SE0000192882,"JP Bank, ser. B, fria",Meroc Asset Management AB,5932001745
SE0000195570,Gunnebo AB,Gunnebo AB,5564382629
SE0000195810,Bure Equity AB,Bure Equity AB,5564548781
SE0000202624,Getinge Industrier AB ser. B,Getinge AB,5564085032
SE0000204828,Piren AB,Rodamco Sverige AB,5562018654
SE0000214058,HL Display AB ser. B,HL Display AB,5562869957
SE0000215493,"Doro AB, ser. A",Doro AB,5561619429
SE0000220824,Munksjö AB (Old),Ahlstrom Sweden AB,5566699731
SE0000221723,Meda AB ser. A,Meda AB,5564272812
SE0000224578,Graphium AB,IDEMIA Sweden Company AB,5564083854
SE0000226367,Nobel Biocare AB,Nobel Biocare AB,5560020231
SE0000226607,"Diös AB, Anders",Fastighets Gesimsen Gron AB,5560117698
SE0000227258,Akzo Nobel N.V. SDB,Akzo Nobel NV,09007809
SE0000232175,Höganäs AB ser. B,Hoganas AB,5560050121
SE0000232282,Matteus AB,Matteus Fondkommission AB,5564043007
SE0000233934,Pricer AB ser. B,Pricer AB,5564277993
SE0000236382,Consilium AB ser. B,Concejo AB (publ),5564803327
SE0000240558,"Spira AB, ser Fria",Kronfagel Holding AB,5565296372
SE0000242125,Althin Medical AB ser. B,Baxter Medical AB,5561710657
SE0000242455,Sparbanken ser. A,Swedbank AB,5020177753
SE0000251902,"Empire AB, The ser. B",Ledstiernan AB,5561222158
SE0000254567,Klippan AB,Klippan AB,5563601821
SE0000254880,Broström Van Ommeren Shipping AB,B Tankers AB,5560051467
SE0000262446,Resco AB ser. B,Acando Europe AB,5562208511
SE0000262982,Cardo AB,Cardo AB,5560268517
SE0000265217,"PA Resources, serie B",PA Resources AB,5564882180
SE0000266991,Gränges AB,Granges AB,5560016122
SE0000267494,"Caran AB, serie B",Caran AB,5562561562
SE0000275802,IRO AB,Vandewiele Sweden AB,5565129417
SE0000275943,Artema Medical AB ser. B,Mindray Medical Sweden AB,5563869949
SE0000282071,Trio AB,Teligent Mobile Office AB,5564390341
SE0000291171,BT Industries AB,Toyota Material Handling Europe AB,5564919537
SE0000291486,Observer AB,Cision AB,5560279514
SE0000293656,BioPhausia AB ser. A,BioPhausia AB,5564850153
SE0000304750,CityMail Group AB ser. A,Bring Mail Nordic AB,5565288197
SE0000308272,Scania AB ser. A,Scania AB,5561848564
SE0000308280,Scania AB ser. B,Scania AB,5561848564
SE0000311615,Linné Group AB,Mandator AB,5562160357
SE0000312043,"Havsfrun, AB ser. B",Havsfrun Investment AB,5563115939
SE0000314155,Näckebro,Stena Fastigheter Vast AB,5560936279
SE0000316150,Benima Ferator Engineering AB,Ferator Engineering AB,5560834011
SE0000323305,Softronic AB ser. B,Softronic AB,5562490192
SE0000325870,Diffchamb AB,Diffchamb Sverige AB,5564304029
SE0000327090,Medi Team Dentalutveckling i Gbg,Biolin Scientific AB,5562494293
SE0000329146,SAS Sverige AB,SAS Sverige AB,5560425414
SE0000329203,Sifab Fastighets AB,SIFAB Fastighets AB,5560145251
SE0000331266,Duroc AB ser. B,Duroc AB,5564464286
SE0000338220,Diligentia AB,Skandia Fastigheter AB,5564671641
SE0000345902,Modul 1 Data AB,Softronic 1 AB,5564190006
SE0000349243,Intentia International AB ser. B,Infor Holdings (Sweden) AB,5563878148
SE0000350696,"Norrporten, Fastighetsab",Castellum Norr 2 AB,5564586138
SE0000351157,Scandic Hotels AB (Old),Scandic Hotels AB,5562991009
SE0000352809,ScanMining - Scandinavian Mining,Scanmining AB,5564451655
SE0000353351,Biacore International AB,Biacore International AB,5565345211
SE0000353898,MultiQ International AB,MQ International AB,5564586948
SE0000355729,"Daydream Software AB, serie B",Entraction Holding AB,5563672913
SE0000356008,Prevas AB ser. B,Prevas AB,5562521384
SE0000361909,Biora AB,Biora AB,5562898998
SE0000362675,"NovaCast AB, ser. B",NovaCast Technologies AB,5562110790
SE0000364283,Alfaskop AB,Alfaskop AB,5565188926
SE0000366098,Net Insight AB ser. B,Net Insight AB,5565334397
SE0000366254,Sigma AB ser. B,Harman Connected Services AB,5562503515
SE0000367823,"Vostok Nafta, Inv Ltd SDB",Vostok Gas Ltd,22531
SE0000371296,Teletrade AB ser. B,Nordnet AB (Pre-Merger),5562491687
SE0000374704,Pronyx AB,Pronyx AB,5564526225
SE0000374993,MTV Produktion AB ser. B,Banijay Sweden AB,5563334662
SE0000375545,"Academedia, serie B (old)",ACM 2001 AB,5560572850
SE0000378127,Ticket Travel Group AB,Braathens Travel Group AB,5564454170
SE0000379075,SäkI AB,SakI AB,5560128547
SE0000379190,Castellum AB,Castellum AB,5564755550
SE0000379497,Semcon AB,Semcon AB,5565399549
SE0000381790,SIFO Group AB ser. B,Cision AB,5560279514
SE0000381840,Feelgood,Feelgood Svenska AB,5565112058
SE0000383259,Handelsbanken Hypotek AB pr,Handelsbanken Hypotek AB,5560007618
SE0000383473,Riddarhyttan AB,Riddarhyttan Resources AB,5565347639
SE0000383499,Arkivator AB,LGP Allgon Holding AB,5563462620
SE0000383531,North Atlantic Natural Resources,North Atlantic Natural Resources AB,5565385076
SE0000386104,"Optosof AB, serie B",Decerno City AB,5565311890
SE0000386138,Expanda AB ser. B,Lammhults Design Group AB,5565412094
SE0000387318,Rörvik Timber AB ser. B,Rorvik Industri och Handel AB,5565412086
SE0000387607,Protect Data AB,Check Point Holding AB,5563158541
SE0000388969,Gorthon Lines AB ser. B,Gorthon Lines AB,5561126953
SE0000391716,"Traction Holding AB, serie B",Traction AB,5560298654
SE0000393860,ProfilGruppen AB ser. B,Profilgruppen AB,5562778943
SE0000394165,PartnerTech AB,Scanfil Sweden AB,5562513308
SE0000394181,Pandox AB (Old),Pandox AB,5560307885
SE0000394470,Mandator AB,Mandator AB,5562160357
SE0000396061,Bong Ljungdahl AB,Bong AB,5560341579
SE0000396715,Independent Media Gr. Sweden AB,Vision Park Interactive Media AB,5564641388
SE0000402497,Dentronic AB ser. B,Decim AB,5561288332
SE0000407991,Svedbergs i Dalstorp AB ser. B,Svedbergs Group AB,5560524984
SE0000409724,Hufvudstaden International AB,Hufvudstaden AB,5560128240
SE0000410698,"Corona Petroleum, serie B",Dial Nxt Group AB,5565433553
SE0000413221,Artimplant AB ser. B,Artimplant AB,5564048394
SE0000416125,Svenska Orient Linien AB ser. B,Svenska Orient Linien AB,5566050950
SE0000416604,Munters AB (old),Munters AB,5560410606
SE0000418402,Nilörngruppen AB ser. B Old,Nilorngruppen AB,5563223782
SE0000418923,CTT Systems AB,CTT Systems AB,5564307741
SE0000421273,Know IT AB,Knowit AB (publ),5563910354
SE0000426462,Q-Med,Q Med AB,5562586882
SE0000427361,Nordea Bank AB,Nordea Bank Abp,28583949
SE0000429706,ARETE AB,CAG Arete AB,5562876770
SE0000430894,PWT Pure Water Technology AB ser,PWT Pure Water Technology AB,5563815496
SE0000433914,Nexus Technology,Technology Nexus AB,5564109758
SE0000434102,Tele1 Europe,TDC Nordic AB,5565127031
SE0000434292,"Aerocrine AB, ser. B",Circassia AB,5565491056
SE0000434342,Teligent AB,Teligent AB,5563987154
SE0000444713,Forcenergy Inc. SDB,Forcenergy AB,5562178177
SE0000445934,Affärsstrategerna i Sverige AB s,Affarsstrategerna AB,5563214096
SE0000449068,A Brand New World,A Brand New World in Sweden AB,5565007480
SE0000451346,Karolin Machine Tool AB,WJG Holdings AB,5562416775
SE0000452682,Asticus,Asticus AB,5564615960
SE0000454746,PyroSequencing,Biotage AB,5565393138
SE0000454886,Sodra Petroleum AB,Sodra Petroleum AB,5565504882
SE0000456386,Mandamus Fastigheter AB,Heimstaden A Lagenheter AB,5565496360
SE0000459067,Kipling Holding AB,Kipling Holding AB,5565376414
SE0000459299,"Probi AB, ser. B",Probi AB,5564177540
SE0000459323,All Cards Service Center - ACSC,All Cards Service Center ACSC AB,5562726546
SE0000469579,Lifco (Old),Lifco AB (publ),5564653185
SE0000469769,"Balder, Fastighets AB (Old)",Fastighets AB Balder,5565256905
SE0000470700,Proffice B,Randstad Sweden Group AB,5560896572
SE0000470817,Tryckinvest i Norden AB,Tryckinvest I Norden AB,5563950210
SE0000476954,"LightLab AB, ser. B",Nordic Service Partners Holding AB,5565341970
SE0000476962,Icon Medialab International AB,Lb Icon AB,5562840917
SE0000478059,"Société Europ de Com,  SDBA",Societe Europeenne de Communication SA,B114447
SE0000478067,"Société Europ de Com, SDBB",Societe Europeenne de Communication SA,B114447
SE0000479107,ReadSoft AB ser. B,Kofax Sweden Services AB,5563981066
SE0000479495,"Gullspång Kraft AB, ser. B, fr",Fortum Power and Heat AB,5562215623
SE0000483943,Thalamus Networks,Hifab Group AB,5563941987
SE0000500258,Aspiro,Aspiro AB,5565199998
SE0000500290,Drott AB ser. A,Fabege Fastigheter Stockholm AB,5560502113
SE0000500308,Drott AB ser. B,Fabege Fastigheter Stockholm AB,5560502113
SE0000507659,Malmbergs Elektriska AB ser. B,Malmbergs Elektriska AB (publ),5565562781
SE0000507774,Novada,Novada AB (publ),5565146965
SE0000514325,ZAPP B,Zapp AB,5565581203
SE0000514374,Enea Data AB,Enea AB,5562097146
SE0000514440,Cash Guard B,Cash Guard AB,5564228327
SE0000514515,Estinvest,Estinvest,5562407345
SE0000514572,SBI Holding B,Petrosibir AB,5564681491
SE0000519928,Centrecourt (Old),Centrecourt AB,5565468864
SE0000523441,Castcom,Castcom AB (publ),5565528378
SE0000524191,Ballingslöv International AB,Ballingslov International AB,5565562807
SE0000524811,Åhus Glass AB ser. B,Ingman Glass AB,5561218487
SE0000525057,Capona AB,Strawberry Properties AB,5565476073
SE0000526626,Micro Systemation B,Micro Systemation AB (publ),5562443050
SE0000535593,"Skandigen, Industriförvaltningsa",Skanditek Industriforvaltning AB,5562354141
SE0000538258,Entra Data AB ser. A,Entra Data AB,5592310147
SE0000538845,Naturkompaniet AB,Naturkompaniet AB,5564337037
SE0000542896,Skultuna Messingsbruk AB,Skultuna Messingsbruk AB,5560293085
SE0000544678,Persea B,Persea AB,5561522409
SE0000545477,Glasis Holding AB ser. B,Eitech Electro AB,5564690732
SE0000545626,Jeeves Information Systems AB,Forterro Sweden AB,5563434215
SE0000549412,Kungsleden AB,Kungsleden AB,5565451217
SE0000558173,Netwise B,Netwise AB,5564044286
SE0000561623,"Electrolux, AB ser. B",Electrolux AB,5560094178
SE0000565210,Wilh. Sonesson AB ser. A,Midsona AB,5562415322
SE0000565228,Wilh. Sonesson AB ser. B,Midsona AB,5562415322
SE0000567539,Poolia AB ser. B,PION Group AB,5564479912
SE0000567752,NOVOTEK AB ser. B,Novotek AB,5560609447
SE0000571275,Skribo Font,Skribo Font AB (publ),5564161163
SE0000577025,Swedmach Ind. B,Swedmach Logistics AB,5566147939
SE0000577199,Swedmach Industries AB BT ser. B,Swedish Match Industries AB,5560050253
SE0000579591,Autofill,Autofill AB,5564611639
SE0000582603,Viking Telecom,Availo AB,5563303055
SE0000584948,Clas Ohlson B,Clas Ohlson AB,5560358672
SE0000585960,Connecta (old) B,Connecta AB,5565403457
SE0000588147,Nordbanken Holding AB,Nordea Bank AB,5164060120
SE0000590416,Perbio Science,Perbio Science AB,5565670626
SE0000601544,Friluftsbolaget,Friluftsbolaget Ekelund & Sagner AB,5565430229
SE0000614695,Tripep,Din Bostad Sverige AB,5565411898
SE0000615858,JC,Jotunfjell Partners AB,5564688991
SE0000616716,Duni AB,Duni AB,5565367488
SE0000619181,LinkMed AB,CareDx International AB,5565436127
SE0000622656,Hagströmer&Qviberg,HQ AB,5565735650
SE0000628984,ISEC Intelligent Securtity AB,Reguard AB,5564020922
SE0000634040,Pharmacia Corp. SDB,Pharmacia LLC,0341113
SE0000634321,Orc,Broadridge Trading and Connectivity Solutions AB,5563134583
SE0000641151,Delphi Private Placement Group,Svithoid Tankers AB,5565740064
SE0000646606,Sign On i Stockholm AB,Dagon AB,5564310067
SE0000648115,,Axfood AB,5565420824
SE0000652216,Hakon Invest AB,ICA Gruppen AB,5560482837
SE0000653230,Studsvik,Studsvik AB,5565010997
SE0000653495,Comexchange,Nordic Holding Sverige AB (publ),5565230801
SE0000657140,Netonnet,NetOnNet AB,5565204137
SE0000667891,Sandvik AB,Sandvik AB,5560003468
SE0000667925,Telia AB,Telia Company AB,5561034249
SE0000671711,Beijer Electronics,Ependion AB,5560251851
SE0000671810,Mogul,Decerno City AB,5565311890
SE0000672040,Coldator B,Coldator FreshCool International AB,5563929545
SE0000672354,Axis,Axis AB,5562411065
SE0000673907,Scand. Online,Scandinavia Online AB,5565519989
SE0000673998,Mind,Mind AB,5565828059
SE0000674509,AU-System,Knowit Connectivity AB,5562540673
SE0000678328,IAR Systems AB (Old),I.A.R. Systems AB,5562307107
SE0000683484,CellaVision AB,CellaVision AB,5565000998
SE0000683757,Human Care,Human Care HC AB (publ),5564946332
SE0000689986,Johnson Pump,Johnson Pump International AB,5561630095
SE0000695876,Alfa Laval AB,Alfa Laval AB,5565878054
SE0000696841,Metro SDBA,Metro International SA,B73790
SE0000696858,Metro SDBB,Metro International SA,B73790
SE0000698268,Hemtex AB,Hemtex AB,5561327056
SE0000702169,Cybercom,Knowit Group Sverige AB,5565446522
SE0000702177,Custos (Old),AB Custos,5560361668
SE0000706913,Neonet,BTN Forvaltning AB,5565301263
SE0000708620,AudioDev B,Audiodev AB,5561962035
SE0000718199,Capio,Capio AB (publ),5567064448
SE0000718751,Glasis Holding AB,Eitech Electro AB,5564690732
SE0000721433,Dimension,Proact IT Sweden AB,5563282754
SE0000722365,Oasmia Pharmaceutical AB,Vivesto AB,5563326676
SE0000725624,Gandalf AB,JLT Mobile Computers AB (publ),5562394071
SE0000736415,Orexo AB,Orexo AB,5565000600
SE0000739286,Vostok Oil,Alliance Oil Company Ltd,25413
SE0000769044,CellPoint Inc. SDB,Cellpoint Inc,C41521997
SE0000798829,Carnegie,Victoriahem Fastigheter AB,5564989449
SE0000799827,HQ Fonder AB,Carnegie Fonder AB,5562666049
SE0000805426,BTS Group B,BTS Group AB,5565667119
SE0000806994,JM AB,JM AB,5560452103
SE0000809881,Pergo AB,Declam AB,5565632600
SE0000818023,Transcom WorldWide S.A. S ser. A,Transcom Worldwide AB,5568801277
SE0000818031,Transcom WorldWide S.A. SDB ser.,Transcom Worldwide AB,5568801277
SE0000825820,Lundin Petroleum AB,Orron Energy AB,5566108055
SE0000835217,Sigma AB ser. B,Sigma Nexer AB,5563475440
SE0000856999,Kraftkommission i Sverige ser. B,Stavrullen Finans AB (publ),5561255851
SE0000857369,Seamless Distribution AB,Invuo Technologies AB,5566102660
SE0000862997,Billerud AB,Billerud AB (publ),5560255001
SE0000872095,Biovitrum AB,Swedish Orphan Biovitrum AB (publ),5560389321
SE0000936478,Intrum Justitia AB,Intrum AB,5566077581
SE0000937674,Active Capital AB ser. A,ACAP Invest AB,5560877838
SE0000937682,Active Capital AB ser. B,ACAP Invest AB,5560877838
SE0000949331,Nobia AB,Nobia AB,5565282752
SE0000950982,SinterCast AB,SinterCast AB,5562336494
SE0000957979,Adcore AB ser. A,Corem Kelly AB,5564825833
SE0000961724,Connecta AB (Very old),Connecta AB,5565403457
SE0001048984,BioPhausia AB,BioPhausia AB,5564850153
SE0001097031,Senea AB ser. A,Kamstrup AB,5564364890
SE0001105487,Brinova Fastigheter AB (Old),Brinova Fastigheter AB,5565949566
SE0001105511,ZetaDisplay AB,ZetaDisplay AB,5566034434
SE0001131269,Tilgin AB,Seliro AB,5565375812
SE0001134529,South Atlantic Ventures SDB,Lundin Mining Corp,4437365
SE0001134537,Tanganyika Oil,Tanganyika Oil Co Ltd,3183688
SE0001137985,Active Biotech AB,Active Biotech AB publ,5562239227
SE0001161530,Nanook Investment AB,Acando Solutions AB,5566105705
SE0001161654,NOTE AB,Note AB (publ),5564088770
SE0001174889,Oriflame Cosmetics S.A. SDB,Oriflame Cosmetics SA,B8835
SE0001174970,Millicom Intern. Cellular SDB,Millicom International Cellular SA,B40630
SE0001200015,Nextlink,Invisio AB,5566510987
SE0001207606,Ainax,Ainax AB,5565794459
SE0001210329,BubbelTian AB,Envirosation AB,5566621800
SE0001280355,Probi AB,Probi AB,5564177540
SE0001283607,"Uniflex AB, ser. B",Uniflex AB,5564620887
SE0001306119,addVise Inredning Skyddsvent. AB,ADDvise Group AB (publ),5563632115
SE0001336983,Bostads AB Drott,Bostads Drott AB,5562383959
SE0001338039,Formpipe Software,FormPipe Software AB,5566686605
SE0001447723,Gunnebo Industrier AB,Gunnebo Industrier AB,5563249183
SE0001449380,Mangold AB,Mangold AB,5566285408
SE0001471103,Transmode Holding AB,Transmode AB,5565889101
SE0001493693,Tricorona Mineral AB,Bryggpipan AB,5563320240
SE0001512088,Finnveden AB ser. B,Bulten Holding AB,5562240894
SE0001515552,Indutrade AB,Indutrade AB,5560179367
SE0001552357,TradeDoubler AB,TradeDoubler AB,5565757423
SE0001572520,Electra Gruppen AB,Elon AB (publ),5560654054
SE0001625534,AllTele Allmänna Svenska Telefon,Bredband2 Allmanna IT AB,5566262407
SE0001629288,AB Sagax pref,Sagax AB,5565200028
SE0001634262,Diös Fastigheter AB,Dios Fastigheter AB,5565011771
SE0001662222,"Husqvarna AB, ser. A",Husqvarna AB,5560005331
SE0001662230,"Husqvarna AB, ser. B",Husqvarna AB,5560005331
SE0001664210,Gant Company AB,Gant Company AB,5566004486
SE0001664707,Catena AB,Catena AB,5562941715
SE0001696683,OPUS Prodox AB,Opus Group AB (publ),5563906063
SE0001733841,"Swedol AB, ser. B",Swedol AB,5561276188
SE0001739053,Carl Lamm AB,Franco Frankerings Intressenter AB,5566947593
SE0001785197,"Securitas Systems AB, ser. B",Niscayah Group AB,5564366267
SE0001785270,Melker Schörling AB,Melker Schorling AB,5565605309
SE0001824004,G5 Entertainment AB,G5 Entertainment AB (publ),5566808878
SE0001826215,TMT One AB ser. A,SCA Estonian Forests AB,5567264659
SE0001852419,Lindab International AB,Lindab International AB,5566065446
SE0001857533,Rezidor Hotel Group AB,Radisson Hospitality AB,5566740964
SE0001965369,NAXS Nordic Access Buyout Fund,NAXS AB (publ),5567122972
SE0002016352,"C-RAD AB, ser. B",C Rad AB,5566639174
SE0002060863,BlackPearl Resources,BlackPearl Resources Inc (Pre-Reincorporation),4546113
SE0002091496,"Peab Industri AB, ser. B",Peab Industri AB,5565949558
