isin,orgnr,company_name,source
SE0007048020,556560-0797,Collector AB,manual
SE0011115963,559255-5149,Veoneer Inc,manual
SE0007184189,556693-7753,Genova Property Group AB,manual
SE0004390516,556866-0723,Creades AB ser. A,manual
SE0011116508,556040-8113,Beijer Ref AB ser. B,manual
SE0011527845,556729-0217,Q-Linea AB,manual
SE0002158568,556693-7404,Eastnine AB,manual
SE0000391716,556029-8654,AB Traction,manual
SE0012674232,556076-2055,XANO Industri AB ser. B,manual
SE0012455202,556615-8266,Tethys Oil AB,manual
SE0007331608,556158-1041,TF Bank AB,manual
SE0000412991,556494-3446,Proact IT Group AB,manual
SE0009994429,556678-6645,Fastator AB,manual
SE0007526132,556864-8116,Genova Property Group AB pref,manual
SE0001823303,556545-6596,Precise Biometrics AB,manual
SE0012455350,556658-0683,Björn Borg AB,manual
SE0001915190,556704-4168,Copperstone Resources AB,manual
SE0004777241,556788-8614,Sportamore AB,manual
SE0012827822,556984-0910,Acrinova AB,manual
SE0000273294,556238-4361,Medivir AB ser. B,manual
SE0010023432,556634-3185,Mertiva AB ser. A,manual
SE0013121340,556697-7426,Moberg Pharma AB,manual
SE0005095601,556484-4303,Oscar Properties Holding AB,manual
SE0003303460,556697-2211,MQ Holding AB,manual
SE0013748001,556697-2211,MQ Holding AB,manual
SE0010663302,556469-2019,Svolder AB ser. A,manual
SE0000680902,556301-2730,Moment Group AB,manual
SE0005223674,556196-1599,Retail and Brands AB,manual
SE0000412363,556309-9158,Modern Times Group MTG AB ser. A,manual
SE0001824103,556542-5070,WeSC AB,manual
SE0011204858,556939-8752,Dividend Sweden AB,manual
SE0000312043,556311-5939,Havsfrun Investment AB ser. B,manual
SE0014556718,556578-2496,WeSC AB,manual
SE0002367797,556168-6360,Hexatronic Scandinavia AB,manual
SE0004633956,556588-0936,Eniro AB pref,manual
SE0008041248,556870-4521,Oscar Properties Holding AB pref,manual
SE0000396822,556540-1493,Venue Retail Group AB ser. B,manual
SE0001174970,502072-0982,Millicom International Cellular SDB,manual
SE0007192018,50298,Vostok Emerging Finance Ltd,manual
SE0012231074,556677-7917,VNV Global Ltd SDB,manual
SE0014186532,556090-4251,Betsson B,manual
SE0000427361,516406-0120,,
SE0006886750,556014-2720,,
SE0000588147,502010-5523,,
SE0000193120,502007-7862,,
SE0006886768,556014-2720,,
SE0000101032,556014-2720,,
SE0000113094,502017-3083,,
SE0011088665,556051-4142,,
SE0000255648,556059-3575,,
SE0000103814,556009-4178,,
SE0008373906,556047-9742,,
SE0000112609,556000-3468,,
SE0000314312,556410-8917,,
SE0000308272,556184-8564,,
SE0000308280,556184-8564,,
SE0000122467,556014-2720,,
SE0000237315,556541-2094,,
SE0000869646,556051-4142,,
SE0000113730,556012-7994,,
SE0000230963,556016-9020,,
SE0000164626,556177-4177,,
SE0000164477,556013-0683,,
SE0002687749,502017-7753,,
SE0008212971,556532-6443,,
SE0002026179,556706-4448,,
SE0007074828,556532-6443,,
SE0000100182,556022-1919,,
SE0006826046,556994-5792,,
SE0000109290,556003-6222,,
SE0000106320,556026-3237,,
SE0000112625,556000-3468,,
SE0001493776,556669-2850,,
SE0000950636,556367-0230,,
SE0000100208,556022-1919,,
SE0009773237,556532-6443,,
SE0011309228,556230-7867,,
SE0000805574,556606-8499,,
SE0000115404,556330-2602,,
SE0000610354,556017-5703,,
SE0000635401,556542-0824,,
SE0009241706,556792-3324,,
SE0000479495,556015-7750,,
SE0011452234,556064-8304,,
SE0008373898,556047-9742,,
SE0001956301,556051-8536,,
SE0005731171,556917-4377,,
SE0000104416,556018-5675,,
SE0002452623,556108-9631,,
SE0000105496,556000-8251,,
SE0011089200,556532-6443,,
SE0001413600,556367-0230,,
SE0005876943,556532-6443,,
SE0000325532,556084-2164,,
SE0010133819,556064-8304,,
SE0000195802,556454-8799,,
SE0005217379,556090-4251,,
SE0005935558,556110-6203,,
SE0001207606,556577-4195,,
SE0000390296,556374-8309,,
SE0000718017,556588-0936,,
SE0000118945,556012-7994,,
SE0000115008,556072-1523,,
SE0000262982,556026-8517,,
SE0000171506,556003-6222,,
SE0008613970,556064-8304,,
SE0000164600,556177-4177,,
SE0000109142,556045-2103,,
SE0000314304,556410-8917,,
SE0000103038,556013-0683,,
SE0000290728,556000-4046,,
SE0005992567,556292-1089,,
SE0000115610,556063-9147,,
SE0000170110,556191-8810,,
SE0000590416,556201-8950,,
SE0005189347,556532-6443,,
SE0007306162,556064-8304,,
SE0006732392,556916-4030,,
SE0000152084,502007-7862,,
SE0006168530,556064-8304,,
SE0000331225,556733-4379,,
SE0000311417,559008-2912,,
SE0000267056,556452-6514,,
SE0000204794,556083-7634,,
SE0009696883,556529-3205,,
SE0000233082,556242-7152,,
SE0000115354,556367-0230,,
SE0000468571,556054-4853,,
SE0001336983,556227-9525,,
SE0001511031,556177-4177,,
SE0001180423,556227-9525,,
SE0011062728,556529-3205,,
SE0001630880,556661-2312,,
SE0008375117,556292-1089,,
SE0000241614,556299-6912,,
SE0010494864,556463-9440,,
SE0000102642,556308-8144,,
SE0002084343,556534-5211,,
SE0011115971,556615-8266,,
SE0000702177,556013-0683,,
SE0003949973,556525-6905,,
SE0005223773,556064-8304,,
SE0000120222,556018-5675,,
SE0000224446,556230-7867,,
SE0000495293,556541-7542,,
SE0000190134,556229-7480,,
SE0000379075,556462-7213,,
SE0006886727,556529-3205,,
SE0001176298,556615-8266,,
SE0000311359,556462-3790,,
SE0000452682,556492-5817,,
SE0000383499,556267-5812,,
SE0000808370,556302-9726,,
SE0000585960,556348-9369,,
SE0000816043,556354-3452,,
SE0000102790,556206-2116,,
SE0000100364,556387-9955,,
SE0000115578,556120-6474,,
SE0009161185,556615-8266,,
SE0000818569,556488-2180,,
SE0000540551,556500-0938,,
SE0000236515,556057-3981,,
SE0005851748,556529-3205,,
SE0000254880,556011-9685,,
SE0000469769,556525-6905,,
SE0000673907,556459-6711,,
SE0005137031,556529-3205,,
SE0009973449,556076-2055,,
SE0007048012,556615-8266,,
SE0000381782,556222-3471,,
SE0000381790,556222-3471,,
SE0000102378,556010-4988,,
SE0000353351,556534-5211,,
SE0010494856,556463-9440,,
SE0002257402,556463-9440,,
SE0001989252,556532-6443,,
SE0006425419,556917-4377,,
SE0001105487,556840-3918,,
SE0000347486,556025-6754,,
SE0000394736,556113-8826,,
SE0000470817,556471-8958,,
SE0002000083,556576-4205,,
SE0000476962,556471-3182,,
SE0000103046,556013-0683,,
SE0000535593,556012-1328,,
SE0001852211,556578-4724,,
SE0000116642,556071-1270,,
SE0000408189,556064-8304,,
SE0000379844,556110-6203,,
SE0000103806,556009-4178,,
SE0002136242,556661-8954,,
SE0000461709,556529-3205,,
SE0000767188,556597-8201,,
SE0000291486,556035-5360,,
SE0006963682,556883-1449,,
SE0000394546,556471-8315,,
SE0006055257,556880-1277,,
SE0000293003,556322-1729,,
SE0005191426,556010-4988,,
SE0006964508,556209-7146,,
SE0009189657,559050-5052,,
SE0000809881,556045-7391,,
SE0005877271,556883-1449,,
SE0000488850,556529-1471,,
SE0000113797,556025-3941,,
SE0005127875,556883-1449,,
SE0001289190,556574-8015,,
SE0000547929,556532-3929,,
SE0000117822,556042-0020,,
SE0000115503,556199-8144,,
SE0000226607,556501-1771,,
SE0000103780,556006-4021,,
SE0000121816,556030-1319,,
SE0000592339,556544-6522,,
SE0000235574,556035-3176,,
SE0000571416,556309-3359,,
SE0005851268,556209-7146,,
SE0000808396,556282-4556,,
SE0000387607,556030-4412,,
SE0000264574,556066-4085,,
SE0000695645,556546-0231,,
SE0001116021,556737-0431,,
SE0000100042,556223-9227,,
SE0000538852,556520-0028,,
SE0001198714,556292-1089,,
SE0000401622,556495-4682,,
SE0003208792,556463-9440,,
SE0000427254,556356-8709,,
SE0000242711,556309-3359,,
SE0001493693,556539-5689,,
SE0000469959,556541-1644,,
SE0008242002,556658-0683,,
SE0000205940,556469-2019,,
SE0000706913,556530-1263,,
SE0005849437,556658-0683,,
SE0000615858,556125-1526,,
SE0005217320,556230-7867,,
SE0000123572,556209-7146,,
SE0000101941,556000-1554,,
SE0000670580,556392-1971,,
SE0001161530,556568-1239,,
SE0011036821,556658-0683,,
SE0000352809,556549-3667,,
SE0000232282,556531-8515,,
SE0000520769,556545-6596,,
SE0005003654,556629-1786,,
SE0000957987,556733-4379,,
SE0001739053,556241-9584,,
SE0003613090,556697-7426,,
SE0000538258,556259-6169,,
SE0000891798,556161-9429,,
SE0000422107,556154-2381,,
SE0002253385,556582-0519,,
SE0000437402,556535-0252,,
SE0008008254,556484-1369,,
SE0005126729,556488-2180,,
SE0000193286,556034-0689,,
SE0007789409,556749-2375,,
SE0000119224,556292-1089,,
SE0000514689,556484-1369,,
SE0000107476,556041-1105,,
SE0000267494,556416-0993,,
SE0000383457,556241-2810,,
SE0011167956,556733-0161,,
SE0000110835,556037-9248,,
SE0000640369,556477-7024,,
SE0002469312,556666-9321,,
SE0000192874,516401-9838,,
SE0000426652,556274-8623,,
SE0000135501,556176-8787,,
SE0000350340,556492-4885,,
SE0000104564,556285-1408,,
SE0000110116,556184-6691,,
SE0005188471,556209-7146,,
SE0002109330,556389-3956,,
SE0000101925,556000-1554,,
SE0000189128,556011-6830,,
SE0000112682,556067-5807,,
SE0000141160,556001-3301,,
SE0000789711,556537-7263,,
SE0006965240,556658-0683,,
SE0009697246,556658-0683,,
SE0005188349,556658-0683,,
SE0000166555,556034-7024,,
SE0000434342,556487-4596,,
SE0001124421,556538-5608,,
SE0001672809,556679-1219,,
SE0000337917,556242-3797,,
SE0000672115,556556-2119,,
SE0000120859,556063-1523,,
SE0002579912,556648-2204,,
SE0000545311,556495-3718,,
SE0000373128,556400-7200,,
SE0000383473,556175-6833,,
SE0000211682,556306-0695,,
SE0000383531,556550-4635,,
SE0000364283,556022-1794,,
SE0001104209,556539-5356,,
SE0000433914,556405-7528,,
SE0005191806,556471-2315,,
SE0000240772,556086-3558,,
SE0008294334,556694-2974,,
SE0001803131,556694-2974,,
SE0000345902,556186-2796,,
SE0000100844,556042-0020,,
SE0000109084,556316-8269,,
SE0000113516,556015-9973,,
SE0000386104,556435-8361,,
SE0000378127,556518-1191,,
SE0000189417,502007-7862,,
SE0000619181,556543-6127,,
SE0000339137,556540-1493,,
SE0000112906,556040-8113,,
SE0000413221,556410-1008,,
SE0000314502,502004-3619,,
SE0000383259,556000-7618,,
SE0000282071,556408-4124,,
SE0000109514,556078-9051,,
SE0000101297,556016-5279,,
SE0000116634,556071-1270,,
SE0000308017,556556-9023,,
SE0006992335,556734-7777,,
SE0000459323,556538-5814,,
SE0000428179,556582-0519,,
SE0000259418,556232-2597,,
SE0000689986,556007-4055,,
SE0000477192,556292-6005,,
SE0000192882,516401-9838,,
SE0000257792,556231-2324,,
SE0000459067,556522-1004,,
SE0002105601,556730-7813,,
SE0001121617,556567-6720,,
SE0005392529,556484-1369,,
SE0000113201,556012-1328,,
SE0000579591,556556-9023,,
SE0005096369,556734-7777,,
SE0000514630,556258-4804,,
SE0000316150,556327-2702,,
SE0000135287,556043-0933,,
SE0007306188,556984-0910,,
SE0000556292,556341-8425,,
SE0000393936,556007-4055,,
SE0001775479,556010-4988,,
SE0000523441,556531-7798,,
SE0000416596,556006-2042,,
SE0000254567,556089-3813,,
SE0000484305,556343-1492,,
SE0000410698,556531-6824,,
SE0000362675,556632-1856,,
SE0000592677,556570-8601,,
SE0000120727,556053-1080,,
SE0006425484,559085-5721,,
SE0000102006,556033-5273,,
SE0000108904,556004-9618,,
SE0000111189,556363-9107,,
SE0000388910,556156-3006,,
SE0000416588,556006-2042,,
SE0000101891,556000-0512,,
SE0000671810,556473-4250,,
SE0000667875,556588-8567,,
SE0001991670,556686-3576,,
SE0000431009,556530-9705,,
SE0000454886,556393-6483,,
SE0000413783,556050-3340,,
SE0000641151,556295-9485,,
SE0000558173,556492-3499,,
SE0000445934,556535-8032,,
SE0000402448,556479-2199,,
SE0001159344,556510-4690,,
SE0000374704,556452-6225,,
SE0000393845,556477-7024,,
SE0000449068,556585-1659,,
SE0000396715,556487-3110,,
SE0005704129,556845-4619,,
SE0000325870,556031-7242,,
SE0000104846,556012-3810,,
SE0000205932,556469-2019,,
SE0000310690,556525-8646,,
SE0000442931,556562-9272,,
SE0000169195,556037-9248,,
SE0000507774,556571-3874,,
SE0000601544,556529-8278,,
SE0000564155,556557-7079,,
SE0000239741,556307-5692,,
SE0005397106,559296-1105,,
SE0000114662,556048-9253,,
SE0000402497,556286-3907,,
SE0006543740,556984-0910,,
SE0000395105,556313-5309,,
SE0000394702,556239-4071,,
SE0000795411,556573-6500,,
SE0000100505,556610-8055,,
SE0000143521,556047-9742,,
SE0000265217,556488-2180,,
SE0000653404,556559-4612,,
SE0000961724,556404-8247,,
SE0000191298,556034-0689,,
SE0003689983,556845-4619,,
SE0000571275,556588-7643,,
SE0000653495,556563-3490,,
SE0000388969,556012-8504,,
SE0000192403,556539-5689,,
SE0000442121,556363-2115,,
SE0000189433,502007-7862,,
SE0000708620,556529-8740,,
SE0000514515,556548-9020,,
SE0000239733,556307-5692,,
SE0000189425,502007-7862,,
SE0009242225,556931-4692,,
SE0000628984,556542-2853,,
SE0000672040,556584-7463,,
SE0000533440,556031-5808,,
SE0000431058,556539-5356,,
SE0000514440,556608-5732,,
SE0003421544,556567-2549,,
SE0000514481,556574-8551,,
SE0000684664,556563-9158,,
SE0005498557,556567-2549,,
SE0000653628,556527-1628,,
SE0000731770,556546-4345,,
SE0000514325,556527-7880,,
SE0006993986,556090-4251,,
SE0008242358,556090-4251,,
SE0000107906,556733-4379,,
SE0000109985,556013-2250,,
SE0000112567,556043-0115,,
SE0000116329,556073-9299,,
SE0000120818,502007-7862,,
SE0000170896,556134-3260,,
SE0000233801,556202-6401,,
SE0000594038,556564-1117,,
SE0000619496,556588-2678,,
SE0001582651,556459-6711,,
SE0002174490,556013-0683,,
SE0002583195,556054-4853,,
SE0002591651,556452-6514,,
SE0002591743,556243-8001,,
SE0002727180,556494-4154,,
SE0005936911,556090-4251,,
SE0006425401,556733-4379,,
SE0007047717,556555-4317,,
SE0009806896,556090-4251,,
SE0010494476,556781-4024,,
SE0011089259,556090-4251,,
